"Name","PFS","Source","Rarity","Traits","Category","Subcategory","Level","Price","Bulk","Spoilers?"
"<u><a href=""Equipment.aspx?ID=1092"">Spellender</a></u>","—","<u><a href=""Sources.aspx?ID=97"" title=""Pathfinder #170: Spoken on the Song Wind"">Pathfinder #170</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=2"">Abjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=37"">Weapons</a></u>","<u><a href=""Equipment.aspx?Category=37&Subcategory=40"">Specific Magic Weapons</a></u>","9","600 gp","L","<u><a href=""Setting.aspx?Group=12"">Strength of Thousands</a></u>"
"<u><a href=""Equipment.aspx?ID=1081"">Thousand-Blade Thesis</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=67"">Extradimensional</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=21"">Held Items</a></u>","—","9","600 gp","L","—"
"<u><a href=""Equipment.aspx?ID=269"">Triton's Conch</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=21"">Held Items</a></u>","—","9","640 gp","L","—"
"<u><a href=""Equipment.aspx?ID=409"">Armbands of Athleticism</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","645 gp","L","—"
"<u><a href=""Equipment.aspx?ID=410"">Belt of the Five Kings</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","650 gp","L","—"
"<u><a href=""Equipment.aspx?ID=417"">Bracers of Missile Deflection (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=2"">Abjuration</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","650 gp","L","—"
"<u><a href=""Equipment.aspx?ID=812"">Chain of the Stilled Spirit</a></u>","—","<u><a href=""Sources.aspx?ID=47"" title=""Pathfinder #158: Sixty Feet Under"">Pathfinder #158</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=117"">Necromancy</a></u>","<u><a href=""Equipment.aspx?Category=21"">Held Items</a></u>","—","9","650 gp","2","Agents of Edgewatch"
"<u><a href=""Equipment.aspx?ID=426"">Coyote Cloak (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","650 gp","—","—"
"<u><a href=""Equipment.aspx?ID=428"">Dancing Scarf (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=92"">Illusion</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=163"">Visual</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","650 gp","—","—"
"<u><a href=""Equipment.aspx?ID=855"">Diviner's Nose Chain</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=50"" title=""PFS Guide"">PFS Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","650 gp","—","—"
"<u><a href=""Equipment.aspx?ID=470"">Elemental Wayfinder (Air)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=50"" title=""PFS Guide"">PFS Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=5"">Air</a></u>, <u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","650 gp","—","—"
"<u><a href=""Equipment.aspx?ID=320"">Force Shield</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=75"">Force</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=30"">Specific Shields</a></u>","9","650 gp","L","—"
"<u><a href=""Equipment.aspx?ID=509"">Gourd Home</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=8"" title=""Pathfinder #147: Tomorrow Must Burn"">Pathfinder #147</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=67"">Extradimensional</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=153"">Structure</a></u>","<u><a href=""Equipment.aspx?Category=33"">Structures</a></u>","—","9","650 gp","L","<u><a href=""Setting.aspx?Group=2"">Age of Ashes</a></u>"
"<u><a href=""Equipment.aspx?ID=443"">Hat of the Magi (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=11"">Arcane</a></u>, <u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","650 gp","—","—"
"<u><a href=""Equipment.aspx?ID=585"">Inspiring Spotlight</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=23"" title=""Pathfinder #152: Legacy of the Lost God"">Pathfinder #152</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=100"">Light</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=21"">Held Items</a></u>","—","9","650 gp","3","Extinction Curse"
"<u><a href=""Equipment.aspx?ID=450"">Pendant of the Occult (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=120"">Occult</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","650 gp","—","—"
"<u><a href=""Equipment.aspx?ID=451"">Persona Mask (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=76"">Fortune</a></u>, <u><a href=""Traits.aspx?ID=92"">Illusion</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","650 gp","—","—"
"<u><a href=""Equipment.aspx?ID=288"">Shadow (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=26"">Armor Property Runes</a></u>","9","650 gp","—","—"
"<u><a href=""Equipment.aspx?ID=954"">Starless Scope</a></u>","—","<u><a href=""Sources.aspx?ID=88"" title=""Malevolence"">Malevolence</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","<u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=48"">Divine</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=21"">Held Items</a></u>","—","9","650 gp","1","Malevolence"
"<u><a href=""Equipment.aspx?ID=467"">Tracker's Goggles (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","660 gp","—","—"
"<u><a href=""Equipment.aspx?ID=318"">Dragonslayer's Shield</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=2"">Abjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=30"">Specific Shields</a></u>","9","670 gp","1","—"
"<u><a href=""Equipment.aspx?ID=468"">Ventriloquist's Ring (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=92"">Illusion</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","670 gp","—","—"
"<u><a href=""Equipment.aspx?ID=446"">Knapsack of Halflingkind</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=67"">Extradimensional</a></u>, <u><a href=""Traits.aspx?ID=89"">Healing</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","675 gp","L","—"
"<u><a href=""Equipment.aspx?ID=752"">Victory Plate</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=2"">Abjuration</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=14"">Specific Magic Armor</a></u>","9","675 gp","4","—"
"<u><a href=""Equipment.aspx?ID=506"">Bountiful Cauldron</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=8"" title=""Pathfinder #147: Tomorrow Must Burn"">Pathfinder #147</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=53"">Other</a></u>","—","9","680 gp","2","<u><a href=""Setting.aspx?Group=2"">Age of Ashes</a></u>"
"<u><a href=""Equipment.aspx?ID=452"">Phylactery of Faithfulness</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=48"">Divine</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","680 gp","L","—"
"<u><a href=""Equipment.aspx?ID=515"">Crimson Brand</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=37"">Weapons</a></u>","<u><a href=""Equipment.aspx?Category=37&Subcategory=40"">Specific Magic Weapons</a></u>","9","700 gp","1","—"
"<u><a href=""Equipment.aspx?ID=942"">Crimson Fulcrum Lens</a></u>","—","<u><a href=""Sources.aspx?ID=81"" title=""Pathfinder #165: Eyes of Empty Death"">Pathfinder #165</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","<u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=120"">Occult</a></u>","<u><a href=""Equipment.aspx?Category=53"">Other</a></u>","—","9","700 gp","1","Abomination Vaults"
"<u><a href=""Equipment.aspx?ID=507"">Dreamstone</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=8"" title=""Pathfinder #147: Tomorrow Must Burn"">Pathfinder #147</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=21"">Held Items</a></u>","—","9","700 gp","L","—"
"<u><a href=""Equipment.aspx?ID=470"">Elemental Wayfinder (Fire)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=50"" title=""PFS Guide"">PFS Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","700 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1055"">Extending</a></u>","—","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=27"">Weapon Property Runes</a></u>","9","700 gp","—","—"
"<u><a href=""Equipment.aspx?ID=436"">Eyes of the Eagle</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","700 gp","—","—"
"<u><a href=""Equipment.aspx?ID=388"">Gloom Blade</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=37"">Weapons</a></u>","<u><a href=""Equipment.aspx?Category=37&Subcategory=40"">Specific Magic Weapons</a></u>","9","700 gp","L","—"
"<u><a href=""Equipment.aspx?ID=298"">Grievous</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=27"">Weapon Property Runes</a></u>","9","700 gp","—","—"
"<u><a href=""Equipment.aspx?ID=444"">Healer's Gloves (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=117"">Necromancy</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","700 gp","L","—"
"<u><a href=""Equipment.aspx?ID=257"">Horn of Blasting</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=147"">Sonic</a></u>","<u><a href=""Equipment.aspx?Category=21"">Held Items</a></u>","—","9","700 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1089"">Leopard's Armor</a></u>","—","<u><a href=""Sources.aspx?ID=97"" title=""Pathfinder #170: Spoken on the Song Wind"">Pathfinder #170</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=14"">Specific Magic Armor</a></u>","9","700 gp","2","<u><a href=""Setting.aspx?Group=12"">Strength of Thousands</a></u>"
"<u><a href=""Equipment.aspx?ID=368"">Magic Wand (4th-Level Spell)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=164"">Wand</a></u>","<u><a href=""Equipment.aspx?Category=34"">Wands</a></u>","<u><a href=""Equipment.aspx?Category=34&Subcategory=35"">Magic Wands</a></u>","9","700 gp","L","—"
"<u><a href=""Equipment.aspx?ID=738"">Mask of the Banshee</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=16"">Auditory</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=117"">Necromancy</a></u>, <u><a href=""Traits.aspx?ID=118"">Negative</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","700 gp","—","—"
"<u><a href=""Equipment.aspx?ID=448"">Messenger's Ring</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=44"">Other Worn Items</a></u>","9","700 gp","—","—"
