"Name","Family","Source","Rarity","Size","Type","Traits","Level","Spoilers?"
"<u><a href=""Monsters.aspx?ID=1148"">Caulborn</a></u>","<u><a href=""MonsterFamilies.aspx?ID=233"">Ennosite</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=14"">Astral</a></u>","<u><a href=""Traits.aspx?ID=14"">Astral</a></u>","7","—"
"<u><a href=""Monsters.aspx?ID=1398"">Caustic Monitor</a></u>","<u><a href=""MonsterFamilies.aspx?ID=70"">Lizard</a></u>","<u><a href=""Sources.aspx?ID=85"" title=""Pathfinder #166: Despair on Danger Island"">Pathfinder #166</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Huge","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=72"">Cauthooj</a></u>","—","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","12","—"
"<u><a href=""Monsters.aspx?ID=48"">Cave Bear</a></u>","<u><a href=""MonsterFamilies.aspx?ID=13"">Bear</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=580"">Cave Fisher</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=1166"">Cave Giant</a></u>","<u><a href=""MonsterFamilies.aspx?ID=53"">Giant</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=79"">Giant</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=79"">Giant</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=795"">Cave Scorpion</a></u>","<u><a href=""MonsterFamilies.aspx?ID=87"">Scorpion</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","1","—"
"<u><a href=""Monsters.aspx?ID=832"">Cavern Troll</a></u>","<u><a href=""MonsterFamilies.aspx?ID=96"">Troll</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=79"">Giant</a></u>","<u><a href=""Traits.aspx?ID=55"">Earth</a></u>, <u><a href=""Traits.aspx?ID=79"">Giant</a></u>, <u><a href=""Traits.aspx?ID=241"">Troll</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=1092"">Cecaelia Trapper</a></u>","<u><a href=""MonsterFamilies.aspx?ID=222"">Cecaelila</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=76"">Centaur</a></u>","—","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=78"">Centipede Swarm</a></u>","<u><a href=""MonsterFamilies.aspx?ID=22"">Centipede</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=239"">Swarm</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=89"">Ceustodaemon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=26"">Daemon</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=213"">Daemon</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=79"">Changeling Exile</a></u>","<u><a href=""MonsterFamilies.aspx?ID=23"">Changeling</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=212"">Changeling</a></u>, <u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=1533"">Charau-ka</a></u>","—","<u><a href=""Sources.aspx?ID=4"" title=""Pathfinder #145: Hellknight Hill"">Pathfinder #145</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=263"">Charau-ka</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","1","Pathfinder #145: Hellknight Hill"
"<u><a href=""Monsters.aspx?ID=1431"">Charau-ka Acolyte of Angazhan</a></u>","<u><a href=""MonsterFamilies.aspx?ID=109"">Charau-ka</a></u>","<u><a href=""Sources.aspx?ID=89"" title=""The Mwangi Expanse"">The Mwangi Expanse</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=263"">Charau-ka</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=1432"">Charau-ka Butcher</a></u>","<u><a href=""MonsterFamilies.aspx?ID=109"">Charau-ka</a></u>","<u><a href=""Sources.aspx?ID=89"" title=""The Mwangi Expanse"">The Mwangi Expanse</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=263"">Charau-ka</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=1545"">Charau-ka Dragon Priest</a></u>","—","<u><a href=""Sources.aspx?ID=7"" title=""Pathfinder #146: Cult of Cinders"">Pathfinder #146</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Small","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=263"">Charau-ka</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","6","Pathfinder #146: Cult of Cinders"
"<u><a href=""Monsters.aspx?ID=1430"">Charau-ka Warrior</a></u>","<u><a href=""MonsterFamilies.aspx?ID=109"">Charau-ka</a></u>","<u><a href=""Sources.aspx?ID=89"" title=""The Mwangi Expanse"">The Mwangi Expanse</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=263"">Charau-ka</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","1","—"
"<u><a href=""NPCs.aspx?ID=889"">Charlatan</a></u>","<u><a href=""MonsterFamilies.aspx?ID=182"">Criminals</a></u>","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","3","—"
"<u><a href=""NPCs.aspx?ID=965"">Charming Scoundrel</a></u>","<u><a href=""MonsterFamilies.aspx?ID=199"">Firebrands</a></u>","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=80"">Gnome</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","4","—"
"<u><a href=""NPCs.aspx?ID=1053"">Chea</a></u>","—","<u><a href=""Sources.aspx?ID=77"" title=""No-Prep Character: Chea"">No-Prep Character</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>, <u><a href=""Traits.aspx?ID=337"">Beastkin</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","9","—"
"<u><a href=""Monsters.aspx?ID=775"">Chernobue</a></u>","<u><a href=""MonsterFamilies.aspx?ID=146"">Qlippoth</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>, <u><a href=""Traits.aspx?ID=306"">Qlippoth</a></u>","12","—"
"<u><a href=""Monsters.aspx?ID=975"">Children Of Mhar</a></u>","—","<u><a href=""Sources.aspx?ID=36"" title=""Pathfinder #156: The Apocalypse Prophet"">Pathfinder #156</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","18","—"
"<u><a href=""Monsters.aspx?ID=80"">Chimera</a></u>","—","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","8","—"
"<u><a href=""Monsters.aspx?ID=512"">Chimpanzee Visitant</a></u>","<u><a href=""MonsterFamilies.aspx?ID=119"">Visitant</a></u>","<u><a href=""Sources.aspx?ID=23"" title=""Pathfinder #152: Legacy of the Lost God"">Pathfinder #152</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=583"">Choker</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=14"">Choral</a></u>","<u><a href=""MonsterFamilies.aspx?ID=3"">Angel</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","<u><a href=""Traits.aspx?ID=8"">Angel</a></u>, <u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=1351"">Chouchin-Obake</a></u>","<u><a href=""MonsterFamilies.aspx?ID=272"">Tsukumogami</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","","<u><a href=""Traits.aspx?ID=354"">Kami</a></u>","6","—"
"<u><a href=""NPCs.aspx?ID=902"">Chronicler</a></u>","<u><a href=""MonsterFamilies.aspx?ID=185"">Explorers</a></u>","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=584"">Chupacabra</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=81"">Chuul</a></u>","—","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>, <u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>","7","—"
"<u><a href=""Monsters.aspx?ID=1093"">Chyzaedu</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","10","—"
"<u><a href=""Monsters.aspx?ID=187"">Cinder Rat</a></u>","<u><a href=""MonsterFamilies.aspx?ID=43"">Elemental, Fire</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=1094"">City Guard Squadron</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=367"">Troop</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=1307"">Clacking Skull Swarm</a></u>","<u><a href=""MonsterFamilies.aspx?ID=261"">Skull Swarm</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=108"">Mindless</a></u>, <u><a href=""Traits.aspx?ID=239"">Swarm</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>","10","—"
"<u><a href=""Monsters.aspx?ID=240"">Clay Golem</a></u>","<u><a href=""MonsterFamilies.aspx?ID=57"">Golem</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=220"">Golem</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","10","—"
"<u><a href=""Monsters.aspx?ID=82"">Cloaker</a></u>","—","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=1008"">Clockwork Amalgam</a></u>","<u><a href=""MonsterFamilies.aspx?ID=223"">Clockworks</a></u>","<u><a href=""Sources.aspx?ID=51"" title=""Pathfinder #161: Belly of the Black Whale"">Pathfinder #161</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Large","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=331"">Clockwork</a></u>, <u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","20","—"
"<u><a href=""Monsters.aspx?ID=1004"">Clockwork Assassin</a></u>","<u><a href=""MonsterFamilies.aspx?ID=223"">Clockworks</a></u>","<u><a href=""Sources.aspx?ID=49"" title=""Pathfinder #160: Assault on Hunting Lodge Seven"">Pathfinder #160</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=331"">Clockwork</a></u>, <u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=1098"">Clockwork Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=223"">Clockworks</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Huge","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=331"">Clockwork</a></u>, <u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","16","—"
"<u><a href=""Monsters.aspx?ID=1097"">Clockwork Mage</a></u>","<u><a href=""MonsterFamilies.aspx?ID=223"">Clockworks</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=331"">Clockwork</a></u>, <u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","9","—"
"<u><a href=""Monsters.aspx?ID=1096"">Clockwork Soldier</a></u>","<u><a href=""MonsterFamilies.aspx?ID=223"">Clockworks</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=331"">Clockwork</a></u>, <u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=1095"">Clockwork Spy</a></u>","<u><a href=""MonsterFamilies.aspx?ID=223"">Clockworks</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Tiny","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=331"">Clockwork</a></u>, <u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","-1","—"
"<u><a href=""Monsters.aspx?ID=224"">Cloud Giant</a></u>","<u><a href=""MonsterFamilies.aspx?ID=53"">Giant</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=79"">Giant</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=5"">Air</a></u>, <u><a href=""Traits.aspx?ID=79"">Giant</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","11","—"
"<u><a href=""Monsters.aspx?ID=1517"">Cloudsplitter</a></u>","—","<u><a href=""Sources.aspx?ID=87"" title=""Pathfinder #168: King of the Mountain"">Pathfinder #168</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Large","<u><a href=""Traits.aspx?ID=149"">Spirit</a></u>","<u><a href=""Traits.aspx?ID=5"">Air</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>, <u><a href=""Traits.aspx?ID=361"">Phantom</a></u>, <u><a href=""Traits.aspx?ID=149"">Spirit</a></u>","18","Pathfinder #168: King of the Mountain"
"<u><a href=""Monsters.aspx?ID=1099"">Cobbleswarm</a></u>","<u><a href=""MonsterFamilies.aspx?ID=224"">Cobble Mite</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>, <u><a href=""Traits.aspx?ID=55"">Earth</a></u>, <u><a href=""Traits.aspx?ID=239"">Swarm</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=83"">Cockatrice</a></u>","—","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=586"">Cockroach Swarm</a></u>","<u><a href=""MonsterFamilies.aspx?ID=127"">Cockroach</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=239"">Swarm</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=800"">Coil Spy</a></u>","<u><a href=""MonsterFamilies.aspx?ID=151"">Serpentfolk</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=307"">Serpentfolk</a></u>","4","—"
"<u><a href=""Monsters.aspx?ID=1151"">Common Eurypterid</a></u>","<u><a href=""MonsterFamilies.aspx?ID=234"">Eurypterid</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=9"">Animal</a></u>","-1","—"
"<u><a href=""NPCs.aspx?ID=898"">Commoner</a></u>","<u><a href=""MonsterFamilies.aspx?ID=184"">Downtrodden</a></u>","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","-1","—"
"<u><a href=""Monsters.aspx?ID=613"">Compsognathus</a></u>","<u><a href=""MonsterFamilies.aspx?ID=32"">Dinosaur</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Tiny","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=45"">Dinosaur</a></u>","-1","—"
"<u><a href=""Monsters.aspx?ID=1101"">Consonite Choir</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=55"">Earth</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>, <u><a href=""Traits.aspx?ID=239"">Swarm</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=1102"">Coral Capuchin</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Tiny","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=20"">Beast</a></u>","1","—"
"<u><a href=""Monsters.aspx?ID=611"">Cornugon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=30"">Devil</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=44"">Devil</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","16","—"
"<u><a href=""Monsters.aspx?ID=1035"">Corpselight</a></u>","<u><a href=""MonsterFamilies.aspx?ID=210"">Wisp</a></u>","<u><a href=""Sources.aspx?ID=71"" title=""Pathfinder #163: Ruins of Gauntlight"">Pathfinder #163</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","2","—"
